CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
33988    32686    28376    0    0    31146    33028    37584
33962    32731    28396    0    0    31150    33039    37582
33962    32691    28392    0    0    31148    33038    37581
33970    32696    28379    0    0    31141    33046    37577
33973    32696    28361    0    0    31156    33028    37573
33970    32696    28360    0    0    31158    33040    37601
33972    32698    28367    0    0    31142    33058    37586
33984    32693    28374    0    0    31148    33031    37581
33976    32699    28372    0    0    31144    33020    37591
33952    32711    28376    0    0    31154    33040    37606
33974    32689    28400    0    0    31138    33040    37596
33961    32701    28370    0    0    31145    33040    37575
33972    32698    28380    0    0    31148    33031    37590
33970    32704    28388    0    0    31138    33024    37586
33978    32693    28384    0    0    31141    33031    37574
33974    32680    28376    0    0    31153    33024    37592
33966    32688    28390    0    0    31152    33036    37604
33964    32699    28406    0    0    31140    33031    37588
33978    32707    28372    0    0    31162    33040    37575
33970    32697    28409    0    0    31141    33040    37593
33966    32710    28356    0    0    31147    33046    37594
33970    32697    28398    0    0    31136    33031    37592
33980    32728    28407    0    0    31148    33031    37590
33944    32704    28370    0    0    31144    33023    37602
33972    32698    28356    0    0    31136    33031    37592
33960    32704    28370    0    0    31146    33031    37607
33976    32699    28388    0    0    31156    33034    37593
33968    32710    28386    0    0    31160    33027    37590
33978    32686    28380    0    0    31137    33045    37586
33980    32676    28382    0    0    31128    33048    37598
33960    32698    28379    0    0    31146    33048    37570
CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
33820    32710    28347    0    0    31164    32988    37588
33816    32720    28356    0    0    31160    32968    37604
33808    32736    28335    0    0    31166    32989    37601
33812    32722    28342    0    0    31160    32983    37623
33808    32724    28349    0    0    31158    32976    37582
33812    32728    28340    0    0    31164    32972    37621
33824    32704    28263    0    0    31175    32999    37644
33846    32688    28325    0    0    31136    32973    37594
33816    32732    28340    0    0    31152    32984    37602
33828    32704    28336    0    0    31148    32984    37606
33799    32741    28350    0    0    31174    32967    37584
33810    32744    28358    0    0    31164    32981    37612
33820    32704    28347    0    0    31152    32986    37632
33798    32744    28336    0    0    31168    32980    37596
33832    32720    28321    0    0    31146    32986    37604
33828    32716    28361    0    0    31152    32992    37592
33824    32727    28343    0    0    31176    32984    37584
33796    32727    28335    0    0    31154    32980    37582
33814    32711    28332    0    0    31166    32979    37607
33818    32700    28354    0    0    31156    32980    37582
33824    32726    28347    0    0    31168    32970    37607
33831    32724    28338    0    0    31165    32972    37604
33814    32713    28344    0    0    31175    32972    37615
33820    32722    28343    0    0    31149    32992    37602
33797    32722    28325    0    0    31153    32973    37614
33810    32728    28332    0    0    31164    32977    37599
33816    32711    28338    0    0    31156    32967    37606
33820    32717    28330    0    0    31170    32972    37604
33814    32726    28325    0    0    31156    32965    37604
33828    32735    28336    0    0    31163    32969    37600
33816    32732    28312    0    0    31162    32967    37606
33832    32730    28346    0    0    31148    32987    37607
33816    32710    28356    0    0    31154    32992    37597
33832    32724    28349    0    0    31156    32974    37592
33840    32717    28322    0    0    31168    32985    37586
33820    32730    28343    0    0    31178    32981    37606
33808    32717    28337    0    0    31166    32977    37590
33824    32716    28318    0    0    31142    32989    37600
33814    32710    28330    0    0    31160    32993    37592
33831    32711    28354    0    0    31152    32979    37620
33820    32729    28376    0    0    31160    32978    37618
33816    32732    28338    0    0    31164    32978    37602
33828    32733    28324    0    0    31156    32994    37604
33829    32724    28320    0    0    31150    32988    37608
33825    32725    28300    0    0    31153    32975    37600
33819    32716    28336    0    0    31152    32986    37602
33817    32716    28329    0    0    31156    32986    37608
33828    32719    28340    0    0    31146    32972    37612
33824    32711    28344    0    0    31155    32984    37604
33820    32718    28329    0    0    31164    32992    37607
33824    32718    28329    0    0    31157    32992    37610
33816    32729    28324    0    0    31168    32983    37608
33808    32724    28340    0    0    31154    32972    37581
33818    32720    28340    0    0    31166    32978    37588
33816    32719    28332    0    0    31165    32969    37618
33821    32720    28327    0    0    31168    32982    37564
33828    32728    28337    0    0    31156    32978    37616
33824    32706    28336    0    0    31155    32973    37603
33824    32721    28356    0    0    31158    32988    37608
33826    32714    28356    0    0    31158    32974    37606
33816    32724    28325    0    0    31159    32978    37586
33806    32729    28340    0    0    31164    32968    37598
33808    32727    28364    0    0    31154    32985    37584
33820    32717    28346    0    0    31163    32965    37616
33820    32711    28356    0    0    31160    32992    37631
33798    32728    28328    0    0    31160    32980    37600
33824    32728    28320    0    0    31156    32976    37608
33799    32730    28330    0    0    31146    32980    37610
33808    32720    28352    0    0    31160    32972    37602
33809    32730    28324    0    0    31152    32978    37630
33821    32708    28345    0    0    31165    32988    37612
33824    32722    28345    0    0    31160    32985    37612
33812    32717    28332    0    0    31162    32978    37620
33816    32724    28342    0    0    31164    32978    37592
33808    32730    28326    0    0    31160    32980    37588
33829    32718    28332    0    0    31156    32982    37612
33808    32722    28371    0    0    31160    32993    37601
33796    32735    28320    0    0    31168    32990    37605
33816    32719    28320    0    0    31154    32976    37607
33804    32722    28314    0    0    31163    32978    37594
33804    32726    28325    0    0    31152    32990    37596
33814    32717    28332    0    0    31174    32980    37616
33792    32726    28357    0    0    31164    32984    37608
33799    32732    28326    0    0    31160    32978    37628
33818    32711    28328    0    0    31160    32979    37602
33799    32725    28301    0    0    31166    32976    37594
33810    32738    28330    0    0    31156    32979    37614
33799    32731    28350    0    0    31162    32982    37606
33808    32722    28326    0    0    31175    32992    37621
33816    32720    28347    0    0    31148    32984    37601
33784    32724    28329    0    0    31156    32997    37620
33786    32740    28340    0    0    31146    32996    37662
33810    32715    28322    0    0    31164    32979    37590
33796    32724    28333    0    0    31162    32971    37594
33812    32711    28342    0    0    31164    32980    37616
33804    32720    28333    0    0    31152    32984    37632
33799    32728    28328    0    0    31173    32984    37603
33792    32731    28312    0    0    31162    32976    37607
33798    32722    28338    0    0    31174    32988    37607
33788    32720    28346    0    0    31174    32976    37613
33792    32724    28340    0    0    31168    32993    37616
33804    32725    28348    0    0    31168    32978    37616
33799    32729    28328    0    0    31154    32976    37599
33816    32709    28338    0    0    31172    32972    37610
33814    32716    28352    0    0    31158    32985    37586
33799    32720    28332    0    0    31162    32969    37628
33796    32711    28308    0    0    31168    32974    37615
33804    32726    28336    0    0    31170    32974    37612
33820    32720    28346    0    0    31155    32974    37623
33794    32721    28329    0    0    31171    32992    37604
33799    32729    28320    0    0    31164    32988    37624
33810    32710    28322    0    0    31160    32978    37596
33816    32709    28344    0    0    31173    32976    37581
33814    32711    28356    0    0    31168    32988    37608
33795    32722    28319    0    0    31157    32993    37580
33792    32720    28349    0    0    31164    32993    37613
33787    32719    28349    0    0    31162    32980    37620
33796    32726    28352    0    0    31154    32969    37608
33792    32722    28333    0    0    31158    32978    37605
33792    32729    28346    0    0    31152    32976    37631
33798    32716    28325    0    0    31170    32983    37625
33808    32729    28337    0    0    31152    32960    37600
33792    32731    28367    0    0    31170    32985    37600
33796    32728    28350    0    0    31162    32960    37626
33792    32734    28330    0    0    31171    32984    37609
33792    32728    28316    0    0    31168    32988    37584
33784    32704    28340    0    0    31153    32992    37612
33782    32719    28341    0    0    31151    32978    37606
33784    32726    28334    0    0    31146    33004    37596
33799    32720    28352    0    0    31175    32978    37592
33794    32720    28344    0    0    31160    32988    37620
33793    32710    28308    0    0    31162    32979    37588
33797    32728    28324    0    0    31166    32981    37592
33799    32713    28326    0    0    31154    32974    37619
33776    32720    28348    0    0    31166    32968    37628
33788    32710    28314    0    0    31152    32996    37584
33792    32730    28304    0    0    31174    32976    37625
33794    32732    28332    0    0    31168    32978    37600
33784    32722    28327    0    0    31170    32980    37594
33780    32727    28325    0    0    31147    32988    37594
33784    32722    28336    0    0    31147    32984    37580
33793    32723    28309    0    0    31164    32972    37630
33784    32716    28332    0    0    31161    32989    37598
33769    32736    28346    0    0    31149    32988    37580
33792    32708    28356    0    0    31168    32983    37612
33776    32711    28312    0    0    31160    32989    37639
33796    32717    28336    0    0    31168    32981    37601
33772    32736    28326    0    0    31160    33006    37566
33774    32735    28313    0    0    31163    32978    37600
33769    32723    28328    0    0    31160    32976    37601
33792    32734    28330    0    0    31180    32964    37610
33764    32718    28338    0    0    31160    32988    37592
33782    32732    28325    0    0    31169    32984    37615
33712    32626    28274    0    0    31684    34340    37692
33705    32724    28304    0    0    31230    33369    37625
34016    32664    28401    0    0    31239    33101    37639
33974    32934    28344    0    0    31680    33808    37511
33784    32836    28346    0    0    32666    34652    37761
33834    32656    28362    0    0    31796    34408    37337
33632    32900    28374    0    0    34106    36064    34035
32890    32528    27816    0    0    30534    33308    36447
32916    39640    31973    0    0    38454    33217    33936
32638    38041    32642    0    0    38800    32946    33530
32330    38573    32284    0    0    39072    33107    34047
33112    39044    32234    0    0    39508    33920    34269
34244    41153    31850    0    0    37527    33242    33964
32352    37792    32492    0    0    39576    33166    34139
32744    38351    31978    0    0    37224    33010    34115
33462    38180    32932    0    0    44246    33469    34022
33348    42896    32444    0    0    38422    34085    33644
35942    46292    31852    0    0    38665    33677    33956
33000    44551    32130    0    0    39552    33869    33722
35116    46023    32178    0    0    44112    34301    33518
34215    42728    32596    0    0    33611    32191    33820
35943    40662    32400    0    0    37895    32199    33664
33052    45148    31798    0    0    35783    32424    33228
34665    43399    32324    0    0    38571    33689    33890
33500    41410    32510    0    0    40274    34023    34232
34546    43084    32216    0    0    44679    32472    34367
32922    41398    32064    0    0    40208    33091    33395
36038    44472    32713    0    0    39485    32957    34416
33002    46866    32446    0    0    34101    32729    33228
35209    47442    32100    0    0    40052    33618    33726
31995    36580    29872    0    0    33204    32632    32804
31804    36585    32720    0    0    39872    33654    34149
33400    39985    31943    0    0    35685    33247    33780
33455    42930    31341    0    0    42392    33336    34386
32512    45206    31748    0    0    36992    33422    33874
36322    56402    33340    0    0    42503    33206    34302
33478    39687    32541    0    0    32892    32610    32589
34460    42277    31997    0    0    37103    33159    33809
33128    43714    32602    0    0    33725    33016    33064
33928    40952    32429    0    0    40248    33048    34434
33287    37844    30052    0    0    35269    31337    32902
32348    37873    32800    0    0    44741    33840    33352
33724    41824    32148    0    0    32198    33018    32422
34260    42834    30917    0    0    37959    34632    34066
34416    46964    32774    0    0    34724    33364    33346
33532    40003    32244    0    0    37071    33546    33636
34916    47270    30919    0    0    38655    33312    34051
16081    39496    44715    0    0    32552    17304    34090
33612    36988    30761    0    0    37603    34306    34159
31086    36185    30659    0    0    38940    33954    34191
33244    36909    32764    0    0    34823    33094    33207
32664    38230    32647    0    0    36092    33200    33759
32964    37688    32720    0    0    38173    33394    33741
32930    37486    32588    0    0    38244    33278    34150
32944    37728    32890    0    0    37820    33061    33964
32903    37516    32517    0    0    37474    33056    34006
33004    37356    32818    0    0    36971    33226    33933
32985    36900    32412    0    0    36088    30579    32340
33176    38919    32756    0    0    38242    32098    33994
35450    37760    32552    0    0    36871    33727    36126
35580    35178    30834    0    0    32932    38429    35373
33346    30605    31278    0    0    32177    35370    35013
32436    32061    28238    0    0    32604    32956    37854
29194    32528    27479    0    0    35188    32795    37552
34588    31433    28792    0    0    32688    32841    37870
34631    31432    28777    0    0    32739    32868    37829
34619    31408    28784    0    0    32681    32832    37864
34600    31435    28796    0    0    32681    32826    37840
34616    31431    28760    0    0    32674    32833    37863
34608    31435    28790    0    0    32685    32825    37849
34608    31424    28824    0    0    32677    32850    37842
34616    31432    28784    0    0    32684    32839    37868
34612    31414    28794    0    0    32670    32858    37849
34613    31428    28807    0    0    32675    32824    37855
34612    31420    28783    0    0    32684    32845    37852
CH1    CH2    CH3    CH4    CH5    CH6    CH7    CH8
0    0    58079    60460    0    0    0    0
0    0    33191    32738    0    0    0    0
0    0    65535    25834    0    0    0    0
0    0    34384    19789    0    0    0    0
0    0    41509    62302    0    0    0    0
0    0    45128    65492    0    0    0    0
0    0    65520    65535    0    0    0    0
0    0    65535    65535    0    0    0    0
0    0    50332    55876    0    0    0    0
0    0    65535    65535    0    0    0    0
0    0    47586    50361    0    0    0    0
0    0    55064    57016    0    0    0    0
0    0    61496    62744    0    0    0    0
0    0    53706    57664    0    0    0    0
0    0    59956    61548    0    0    0    0
0    0    45289    53639    0    0    0    0
0    0    54517    55800    0    0    0    0
0    0    57640    59244    0    0    0    0
0    0    58338    58537    0    0    0    0
0    0    54394    56388    0    0    0    0
0    0    45149    51340    0    0    0    0
0    0    56288    57474    0    0    0    0
0    0    61132    59860    0    0    0    0
0    0    46215    50898    0    0    0    0
0    0    49092    51898    0    0    0    0
0    0    55193    54638    0    0    0    0
0    0    33202    54784    0    0    0    0
0    0    47358    50374    0    0    0    0
0    0    65535    65535    0    0    0    0
0    0    54296    52992    0    0    0    0
0    0    56199    45208    0    0    0    0
0    0    51718    49560    0    0    0    0
0    0    56292    53444    0    0    0    0
0    0    55541    54264    0    0    0    0
0    0    46461    48821    0    0    0    0
0    0    53156    54446    0    0    0    0
0    0    52386    48822    0    0    0    0
0    0    53221    48839    0    0    0    0
0    0    53459    49287    0    0    0    0
0    0    52786    49174    0    0    0    0
0    0    54732    45095    0    0    0    0
0    0    52168    49532    0    0    0    0
0    0    51738    49592    0    0    0    0
0    0    54069    47028    0    0    0    0
0    0    48891    45468    0    0    0    0
0    0    53759    44732    0    0    0    0
0    0    51172    48007    0    0    0    0
0    0    49213    46420    0    0    0    0
0    0    50842    47195    0    0    0    0
0    0    54011    46253    0    0    0    0
0    0    45396    46536    0    0    0    0
0    0    45910    47332    0    0    0    0
0    0    49240    50523    0    0    0    0
0    0    44972    46166    0    0    0    0
0    0    52068    49661    0    0    0    0
0    0    56597    46215    0    0    0    0
0    0    47851    46999    0    0    0    0
0    0    50095    45883    0    0    0    0
0    0    50310    45668    0    0    0    0
0    0    49103    45622    0    0    0    0
